Time,trans_x,trans_y,trans_z,rot_z
0.99,86.8460962106157,616.906685578454,148.759906202494,28.3942883196077
1,87.2570778370842,617.091372294189,145.092771897247,28.1925608734839
1.01,87.6480441139091,617.319269423379,141.55661172387,28.1925608734839
1.02,88.0525570388607,617.555509226684,138.051750206209,28.1925608734839
1.03,88.5233332240277,617.760099841323,134.604161935724,28.1925608734839
1.04,88.9638585047702,617.981928863515,131.195624029873,28.1925608734839
1.05,89.4056615867962,618.224032562919,127.842204589819,28.1469448929295
1.06,89.855825318177,618.464327394957,124.49448093142,28.1469448929295
1.07,90.2831050023019,618.697283391122,121.18972558101,28.1469448929295
1.08,90.7457798572018,618.933046154309,117.952817608653,28.1469448929295
1.09,91.2997853093955,619.168767997315,114.763745482973,28.1469448929295
1.1,91.8339735400426,619.441597634325,111.584622299922,28.2215227135206
1.11,92.2993935980123,619.722364680992,108.39041729415,28.2215227135206
1.12,92.8136467876849,620.017297735741,105.280400561254,28.2215227135206
1.13,93.3316594426777,620.25630232044,102.222736240516,28.2215227135206
1.14,93.8332258317421,620.562617510823,99.2671378536109,28.2215227135206
1.15,94.3367875922886,620.866485189984,96.4261394098155,28.4148426574555
1.16,94.9192344373117,621.164751894975,93.6186759818658,28.4148426574555
1.17,95.505722012242,621.476349292999,90.8691687213156,28.4148426574555
1.18,96.0710406215683,621.764118969093,88.2287256001938,28.4148426574555
1.19,96.6843693942106,622.049848433685,85.724798042996,28.4148426574555
1.2,97.2605795122308,622.336006244466,83.2692526149313,28.7036893998414
1.21,97.8745013468392,622.644286982446,80.9769125556015,28.7036893998414
1.22,98.4783183385921,622.970826712188,78.8252846772543,28.7036893998414
1.23,99.1604581392664,623.285630285324,76.8367189457649,28.7036893998414
1.24,99.7647836309519,623.57690831052,74.8635694318017,28.7036893998414
1.25,100.381988027965,623.931118989955,73.1830498884572,29.0957353237671
1.26,100.971483612053,624.268154796461,71.6688072308249,29.0957353237671
1.27,101.623446878626,624.579475656118,70.3447538999825,29.0957353237671
1.28,102.193205964606,624.815130766476,69.0129646848587,29.0957353237671
1.29,102.863561916288,625.127446258435,67.9908691412665,29.0957353237671
1.3,103.462715690879,625.444319954331,67.1075374221809,29.583012486984
1.31,104.021687453336,625.753619397977,66.4250555548423,29.583012486984
1.32,104.660022478708,626.06605136493,65.9306705758264,29.583012486984
1.33,105.210653717121,626.38601338161,65.5405046464344,29.583012486984
1.34,105.770213325976,626.68919169057,65.2837000989025,29.583012486984
1.35,106.315368480436,627.036066931329,65.2732315841118,30.1519225130357
1.36,106.862406992579,627.343529340782,65.4846247125959,30.1519225130357
