ts_ns,period_ns,jitter_ns,late
1537677300,1909300,-90700,0
1539684800,2007500,7500,0
1541691400,2006600,6600,0
1543753900,2062500,62500,0
1545212700,1458800,-541200,0
1548192100,2979400,979400,0
1550228700,2036600,36600,0
1552270700,2042000,42000,0
1553702400,1431700,-568300,0
1555752100,2049700,49700,0
1557754800,2002700,2700,0
1559780400,2025600,25600,0
1561878700,2098300,98300,0
1563314600,1435900,-564100,0
1566338300,3023700,1023700,0
1568355400,2017100,17100,0
1570351600,1996200,-3800,0
1572492200,2140600,140600,0
1573865400,1373200,-626800,0
1575894600,2029200,29200,0
1577895400,2000800,800,0
1579875000,1979600,-20400,0
1582104200,2229200,229200,0
1583620500,1516300,-483700,0
1585619600,1999100,-900,0
1587614400,1994800,-5200,0
1589581000,1966600,-33400,0
1592628200,3047200,1047200,0
1593327500,699300,-1300700,0
1596093900,2766400,766400,0
1598120000,2026100,26100,0
1600649500,2529500,529500,0
1601378300,728800,-1271200,0
1603712300,2334000,334000,0
1605121700,1409400,-590600,0
1608141700,3020000,1020000,0
1610123600,1981900,-18100,0
1612163100,2039500,39500,0
1613618100,1455000,-545000,0
1615875600,2257500,257500,0
1618102400,2226800,226800,0
1620408000,2305600,305600,0
1621948500,1540500,-459500,0
1623455900,1507400,-492600,0
1626426600,2970700,970700,0
1628381800,1955200,-44800,0
1630440800,2059000,59000,0
1632534400,2093600,93600,0
1634626900,2092500,92500,0
1635478300,851400,-1148600,0
1637864300,2386000,386000,0
1639865500,2001200,1200,0
1641937300,2071800,71800,0
1643361600,1424300,-575700,0
1646365200,3003600,1003600,0
1648460000,2094800,94800,0
1650446600,1986600,-13400,0
1651593300,1146700,-853300,0
1653575000,1981700,-18300,0
1656121100,2546100,546100,0
1658088100,1967000,-33000,0
1660140000,2051900,51900,0
1662149100,2009100,9100,0
1663606200,1457100,-542900,0
1665930200,2324000,324000,0
1667903900,1973700,-26300,0
1669864800,1960900,-39100,0
1671911100,2046300,46300,0
1673363100,1452000,-548000,0
1676406800,3043700,1043700,0
1678448000,2041200,41200,0
1680495900,2047900,47900,0
1682414800,1918900,-81100,0
1684703100,2288300,288300,0
1685557400,854300,-1145700,0
1688211700,2654300,654300,0
1690242600,2030900,30900,0
1692337300,2094700,94700,0
1693743200,1405900,-594100,0
1695739000,1995800,-4200,0
1697741600,2002600,2600,0
1699784800,2043200,43200,0
1701797800,2013000,13000,0
1703792600,1994800,-5200,0
1705292100,1499500,-500500,0
1708279600,2987500,987500,0
1710315100,2035500,35500,0
1712320700,2005600,5600,0
1713876900,1556200,-443800,0
1715876200,1999300,-700,0
1717869200,1993000,-7000,0
1719882100,2012900,12900,0
1721882800,2000700,700,0
1723879400,1996600,-3400,0
1725311800,1432400,-567600,0
1728438600,3126800,1126800,0
1730369200,1930600,-69400,0
1732382500,2013300,13300,0
1733882900,1500400,-499600,0
1735868400,1985500,-14500,0
1737870000,2001600,1600,0
1739882900,2012900,12900,0
1741878400,1995500,-4500,0
1743326900,1448500,-551500,0
1745680700,2353800,353800,0
1747703300,2022600,22600,0
1749720400,2017100,17100,0
1751699000,1978600,-21400,0
1753733700,2034700,34700,0
1755773900,2040200,40200,0
1757884800,2110900,110900,0
1759887200,2002400,2400,0
1761878700,1991500,-8500,0
1763882900,2004200,4200,0
1765363500,1480600,-519400,0
1768384300,3020800,1020800,0
1770329600,1945300,-54700,0
1772336200,2006600,6600,0
1773870000,1533800,-466200,0
1775889500,2019500,19500,0
1777870500,1981000,-19000,0
1779878900,2008400,8400,0
1781926300,2047400,47400,0
1783315800,1389500,-610500,0
1786384500,3068700,1068700,0
1788377600,1993100,-6900,0
1790455500,2077900,77900,0
1792524500,2069000,69000,0
1793967600,1443100,-556900,0
1796092600,2125000,125000,0
1798077900,1985300,-14700,0
1800053700,1975800,-24200,0
1801573800,1520100,-479900,0
1804637700,3063900,1063900,0
1805314500,676800,-1323200,0
1807932400,2617900,617900,0
1809928500,1996100,-3900,0
1811932600,2004100,4100,0
1813416400,1483800,-516200,0
1815743800,2327400,327400,0
1817746200,2002400,2400,0
1819747200,2001000,1000,0
1821787200,2040000,40000,0
1823177900,1390700,-609300,0
1825707600,2529700,529700,0
1828002800,2295200,295200,0
1830489800,2487000,487000,0
1832502900,2013100,13100,0
1834607200,2104300,104300,0
1835614200,1007000,-993000,0
1837745500,2131300,131300,0
1838982900,1237400,-762600,0
1841961400,2978500,978500,0
1843427600,1466200,-533800,0
1846442900,3015300,1015300,0
1848454300,2011400,11400,0
1850940800,2486500,486500,0
1851634000,693200,-1306800,0
1853541400,1907400,-92600,0
1856882200,3340800,1340800,0
1857551600,669400,-1330600,0
1859873700,2322100,322100,0
1861874900,2001200,1200,0
1863352700,1477800,-522200,0
1866337300,2984600,984600,0
1868429900,2092600,92600,0
1870319300,1889400,-110600,0
1872336300,2017000,17000,0
1873878300,1542000,-458000,0
1875874500,1996200,-3800,0
1877962800,2088300,88300,0
1879410900,1448100,-551900,0
1882443000,3032100,1032100,0
1883879900,1436900,-563100,0
1885919100,2039200,39200,0
1887997200,2078100,78100,0
1889922300,1925100,-74900,0
1892032700,2110400,110400,0
1893406000,1373300,-626700,0
1896416900,3010900,1010900,0
1898531700,2114800,114800,0
1900975000,2443300,443300,0
1901689000,714000,-1286000,0
1903486500,1797500,-202500,0
1905772300,2285800,285800,0
1907758900,1986600,-13400,0
1909769900,2011000,11000,0
1911739400,1969500,-30500,0
1913921500,2182100,182100,0
1916123300,2201800,201800,0
1918105000,1981700,-18300,0
1920119500,2014500,14500,0
1922257500,2138000,138000,0
1923576700,1319200,-680800,0
1925885600,2308900,308900,0
1927931300,2045700,45700,0
1930031800,2100500,100500,0
1932073600,2041800,41800,0
1933551700,1478100,-521900,0
1935751200,2199500,199500,0
1937734200,1983000,-17000,0
1939771200,2037000,37000,0
1941723000,1951800,-48200,0
1943918800,2195800,195800,0
1945129600,1210800,-789200,0
1948170900,3041300,1041300,0
1950159000,1988100,-11900,0
1952132100,1973100,-26900,0
1953633200,1501100,-498900,0
1955667300,2034100,34100,0
1957645000,1977700,-22300,0
1959724800,2079800,79800,0
1961676100,1951300,-48700,0
1963657100,1981000,-19000,0
1965199500,1542400,-457600,0
1968255700,3056200,1056200,0
1970229200,1973500,-26500,0
1972221200,1992000,-8000,0
1973732800,1511600,-488400,0
1975920300,2187500,187500,0
1977784400,1864100,-135900,0
1979886000,2101600,101600,0
1981802400,1916400,-83600,0
1983784300,1981900,-18100,0
1984978700,1194400,-805600,0
1987979100,3000400,1000400,0
